VarName1,sequence,res_scheme,bitrate,chunk,q_0,q_1,q_2,q_3,q_4,q_5,d_0,d_1,d_2,d_3,d_4,d_5,b_0,b_1,b_2,b_3,b_4,b_5
0,v01_BabyPandas,sp1,966.666666666667,3,32.6208776195832,34.031172604577+0i,34.5606863365782,36.6050084711288+0i,34.1558428825089+0i,36.2873902412307+0i,35.5625258079565,25.7017739979428,22.7515886582798,14.2095234721395,24.974458043162,15.2876713125627,0,0,0,0,0,0
0,v01_BabyPandas,sp1,1300,3,33.4779958132354,35.3750997157838+0i,35.8219241851211,37.9255149437571+0i,35.3019983783727+0i,37.6950208387887+0i,29.193137952478,18.861246427622,17.0171937026401,10.4840447614696,19.1814097620034,11.0554971507471,0,0,0,0,0,0
0,v01_BabyPandas,sp1,1916.66666666667,3,34.7345065729008,37.1429950198665+0i,37.4829463830633,39.6503767825022+0i,36.8782442929647+0i,39.4200199125459+0i,21.8589704803688,12.5539634206078,11.6087570569046,7.04762329858548,13.343075135702,7.43153229807049,0,0,0,0,0,0
0,v01_BabyPandas,sp1,391.666666666667,4,30.5230735906568,29.5626792699712+0i,30.5197004095473,32.4780878322232+0i,30.9841042278749+0i,30.7638671856794+0i,57.6465076331077,71.9138324450746,57.6912992788853,36.7512045199216,51.8405902942937,54.5373011243359,0,0,0,0,0,0
0,v01_BabyPandas,sp1,500,4,30.9333357858144,30.7971347259566+0i,31.5114736322585,33.5801395248606+0i,31.8058362418075+0i,32.3536743700621+0i,52.4501557649301,54.1211340598194,45.9127173860888,28.5145425274857,42.9038965404175,37.8192510306381,0,0,0,0,0,0
0,v01_BabyPandas,sp1,716.666666666667,4,31.6580455095418,32.5507676667104+0i,33.0002262990488,35.1931570763035+0i,33.097283004734+0i,34.4049689164983+0i,44.3890458521371,36.1412853659819,32.5880017501863,19.6682016931823,31.8677983484801,23.5821538956228,0,0,0,0,0,0
0,v01_BabyPandas,sp1,966.666666666667,4,32.3739486964791,33.9693061618032+0i,34.2567270400775,36.5277132888488+0i,34.2323820724888+0i,35.9429699872236+0i,37.6431095166279,26.0705230638092,24.4010017941102,14.4646867187212,24.5381690224711,16.5494422651705,0,0,0,0,0,0
0,v01_BabyPandas,sp1,1300,4,33.1849900658705,35.3527893157243+0i,35.5140953110604,37.8469192267581+0i,35.4022264713518+0i,37.3637968036371+0i,31.2306738051047,18.9583889628382,18.2671514629302,10.6755052434147,18.7438031128955,11.9316548109567,0,0,0,0,0,0
0,v01_BabyPandas,sp1,1916.66666666667,4,34.3975202118873,37.1504864243947+0i,37.1780913521854,39.5774889073103+0i,36.9937615335267+0i,39.1084371512961+0i,23.6226350043173,12.5323270067303,12.4529207895401,7.16690206858861,12.9928435045287,7.98429630627538,0,0,0,0,0,0
0,v01_BabyPandas,sp1,391.666666666667,5,30.6093842264248,30.2346590059869+0i,30.7753347031621,32.7674418362277+0i,31.0228802487843+0i,30.7839722616492+0i,56.5121640424851,61.6047869915846,54.3934856916654,34.3823991062628,51.379791314188,54.285411555225,0,0,0,0,0,0
0,v01_BabyPandas,sp1,500,5,31.0477870654988,31.2307004238185+0i,31.664881045127,33.7675781425951+0i,31.8075270765381+0i,32.3779418027241+0i,51.085971213057,48.979045625578,44.319235100304,27.3100532290482,42.887196056857,37.6085145906593,0,0,0,0,0,0
0,v01_BabyPandas,sp1,716.666666666667,5,31.8138745992696,32.7324654373223+0i,33.0379544873942,35.2695858795073+0i,33.0519887623853+0i,34.4256620298572+0i,42.8245591548954,34.6604196913748,32.3061281987431,19.3251010240336,32.2018990818786,23.470057731903,0,0,0,0,0,0
0,v01_BabyPandas,sp1,966.666666666667,5,32.5613907505205,34.0072127824659+0i,34.2255603574843,36.5389698486874+0i,34.1546302403844+0i,35.9539805696591+0i,36.0529898101589,25.84396133489,24.5767428331257,14.427243972134,24.9814324141551,16.5075379323108,0,0,0,0,0,0
0,v01_BabyPandas,sp1,1300,5,33.3984701470309,35.2912100484627+0i,35.435355868235,37.8119553548845+0i,35.297384011213+0i,37.3594761010899+0i,29.7326313513866,19.2291176244837,18.6013632603991,10.7617977359038,19.2018007889412,11.9435312649623,0,0,0,0,0,0
