VarName1,sequence,res_scheme,bitrate,chunk,q_0,q_1,q_2,q_3,q_4,q_5,d_0,d_1,d_2,d_3,d_4,d_5,b_0,b_1,b_2,b_3,b_4,b_5
0,v01_BabyPandas,sp1,400,1,30.5334701021692,30.9693013067147+0i,30.885817707157,32.2771693845705+0i,31.5067917535429+0i,31.8764321397439+0i,57.5086735544951,52.0175903525011,53.0271871207757,38.4913747382247,45.9622399316689,42.2121183299822,0,0,0,0,0,0
0,v01_BabyPandas,sp1,483.333333333333,1,30.9967703989582,31.654680316797+0i,31.8113200838777,33.5396556359435+0i,32.1423805759403+0i,33.0550250442939+0i,51.6896178029104,44.4234546668805,42.8497559233748,28.7815909940252,39.7047351375448,32.1793936443774,0,0,0,0,0,0
0,v01_BabyPandas,sp1,566.666666666667,1,31.4169281751538,32.252738771525+0i,32.5737994067671,34.5166602086097+0i,32.6998854040782+0i,33.9773804232637+0i,46.9231915203343,38.7085126112593,35.9501262756669,22.9834034123149,34.921414007209,26.0220986255468,0,0,0,0,0,0
0,v01_BabyPandas,sp1,641.666666666667,1,31.7644093692998,32.733390300963+0i,33.1615231026799,35.2403426236148+0i,33.1494135299463+0i,34.664740364893+0i,43.3151102291809,34.6530392731987,31.3998845010213,19.4556658425537,31.487559986364,22.2129543649978,0,0,0,0,0,0
0,v01_BabyPandas,sp1,750,1,32.2236817554917,33.3525776340492+0i,33.8907028081143,36.1100828172852+0i,33.7298444590092+0i,35.4940687956253+0i,38.968365079445,30.0484861800376,26.5466717658416,15.9247300523973,27.5483704845837,18.3515808465502,0,0,0,0,0,0
0,v01_BabyPandas,sp1,900,1,32.791941207579,34.0980982174571+0i,34.7328801728116,37.0837568328613+0i,34.4297626504489+0i,36.4249588165881+0i,34.1889875524969,25.3087408654892,21.8671580329915,12.7263738692834,23.4479076967446,14.8110033172531,0,0,0,0,0,0
0,v01_BabyPandas,sp1,966.666666666667,1,33.0235943233075,34.3966541447144+0i,35.0604417344104,37.4551188363329+0i,34.7101262986955+0i,36.7802837289027+0i,32.4131268268284,23.6273462842537,20.2785168247225,11.6833793262478,21.9820266980007,13.6474649616827,0,0,0,0,0,0
0,v01_BabyPandas,sp1,1166.66666666667,1,33.6562188059043,35.1995270397077+0i,35.9166917805395,38.4099328432039+0i,35.4634734451487+0i,37.693533688682+0i,28.0193773606528,19.6393747348742,16.6498828766062,9.37750008042685,18.48132125717,11.0592835214569,0,0,0,0,0,0
0,v01_BabyPandas,sp1,1350,1,34.1692527403121,35.8402299061129+0i,36.5762805483229,39.1322388548667+0i,36.0632242253068+0i,38.3831856984211+0i,24.8974624952889,16.9456163708147,14.3038288838743,7.94065770369506,16.0974816365834,9.43543204246355,0,0,0,0,0,0
0,v01_BabyPandas,sp1,1616.66666666667,1,34.8280743960434,36.6539065269402+0i,37.3859160293576,40.0061941257209+0i,36.8217065928278+0i,39.2149160038941+0i,21.3930605936373,14.050432994572,11.8710397148869,6.49323241888319,13.5179146978244,7.79092027985832,0,0,0,0,0,0
0,v01_BabyPandas,sp1,400,2,30.6307485907918,29.611336486022+0i,31.3972115065253,32.2678764926672+0i,31.4578018714545+0i,31.9077994041948+0i,56.2348449164728,71.1126253434006,47.1367038582018,38.573825509764,46.4836447798836,41.9083363127058,0,0,0,0,0,0
0,v01_BabyPandas,sp1,483.333333333333,2,31.0012722601704,30.6464614891017+0i,32.0497773671038,33.3045845115404+0i,32.0238166352597+0i,32.9648291040164+0i,51.6360645275138,56.0317532597784,40.5604368784446,30.3823882865088,40.8036202790986,32.854695802436,0,0,0,0,0,0
0,v01_BabyPandas,sp1,566.666666666667,2,31.343380362677,31.4844957163679+0i,32.6183793080398,34.1411516151087+0i,32.5267733745418+0i,33.8085073246572+0i,47.7246030246622,46.1988100204329,35.5829893026777,25.0590844293031,36.3415146030784,27.0538843020924,0,0,0,0,0,0
0,v01_BabyPandas,sp1,641.666666666667,2,31.6303895538243,32.1234006725513+0i,33.0744339014314,34.7772637318983+0i,32.936242048192+0i,34.4447573634234+0i,44.6726180840088,39.8786358375663,32.035903052487,21.6448204555511,33.0716723056072,23.3670896366701,0,0,0,0,0,0
0,v01_BabyPandas,sp1,750,2,32.0149912572683,32.9094093027821+0i,33.6602438141015,35.5577611540313+0i,33.4695497175758+0i,35.2192912337849+0i,40.8866223723266,33.2766371054882,27.993421244838,18.0844058734049,29.2499675836375,19.550201479674,0,0,0,0,0,0
0,v01_BabyPandas,sp1,900,2,32.4984380099352,33.8103132424854+0i,34.3622380123982,36.4493205708739+0i,34.1186569999473+0i,36.0956276864654+0i,36.5793985063738,27.0426368795819,23.8153275808618,14.7281535661298,25.1892165993222,15.9778225005079,0,0,0,0,0,0
0,v01_BabyPandas,sp1,966.666666666667,2,32.6977206370722,34.1592349540686+0i,34.6421049609697,36.7936814053131+0i,34.3802814665709+0i,36.4316189153379+0i,34.9388251353601,24.9549592750539,22.3290303889988,13.6054283745498,23.7165882752092,14.7883073929626,0,0,0,0,0,0
0,v01_BabyPandas,sp1,1166.66666666667,2,33.2477900802504,35.0687277400876+0i,35.3903627687216,37.6885465480121+0i,35.0871730980432+0i,37.2978452372587+0i,30.7823203001072,20.2398638548498,18.7950759058232,11.0719905404755,20.1540833847886,12.1142306206168,0,0,0,0,0,0
0,v01_BabyPandas,sp1,1350,2,33.6995017899817,35.7678843071503+0i,35.9820934560129,38.3734670578335+0i,35.653381086151+0i,37.9536344013672+0i,27.7415154536361,17.2302639383812,16.4010259313546,9.45657029216499,17.6905873489636,10.4163825356371,0,0,0,0,0,0
0,v01_BabyPandas,sp1,1616.66666666667,2,34.2858732468049,36.6259777106281+0i,36.7251977471001,39.2099871938049+0i,36.3728566641345+0i,38.7451715382948+0i,24.2377909950015,14.1410803452721,13.8216721139066,7.79976721814465,14.9897605180428,8.68086909107036,0,0,0,0,0,0
0,v01_BabyPandas,sp1,400,3,30.6379152331655,29.996931995014+0i,30.8617869406828,32.6137457501123+0i,31.109283468952+0i,31.3019420081743+0i,56.1421238024996,65.0709521165685,53.3214151171233,35.620973627756,50.3676877490052,48.1821483050331,0,0,0,0,0,0
0,v01_BabyPandas,sp1,483.333333333333,3,30.9904717043249,30.8711745831265+0i,31.6451844790673,33.4809117930886+0i,31.7089786623927+0i,32.5232044526284+0i,51.7646390944119,53.2062808508145,44.5206927034135,29.1735434068825,43.8715011223814,36.3713914124647,0,0,0,0,0,0
0,v01_BabyPandas,sp1,566.666666666667,3,31.3172273485949,31.6009047040278+0i,32.3085417817117,34.2040268401853+0i,32.2374864242758+0i,33.4676362565796+0i,48.0128654709476,44.9769385010775,38.2143241097891,24.6989037006283,38.8446952350152,29.2628576860666,0,0,0,0,0,0
