,sequence,res_scheme,bitrate,chunk,q_0,q_1,q_2,q_3,q_4,q_5,d_0,d_1,d_2,d_3,d_4,d_5,b_0,b_1,b_2,b_3,b_4,b_5
1722,v20_Survivorman2,sp4,1005,0,30.2416091144,30.0979943636,30.141978657800003,30.101982096700002,29.2348594796,29.9186396277,61.478852241599995,63.5416191992,62.903434454,63.4871232946,77.5024643922,66.2217038139,1792.432,1780.36,1798.5720000000001,1809.72,1798.996,1759.9360000000001
1723,v20_Survivorman2,sp4,1529,0,30.437965138699997,30.131585389899996,30.173343431,30.1542086121,29.2430089459,30.054828838699997,58.759933525600005,63.05570241,62.450697609799995,62.722667173299996,77.3562866936,64.17745486060001,2668.008,2657.3759999999997,2662.804,2689.864,2667.472,2626.04
1724,v20_Survivorman2,sp4,2326,0,30.6278420023,30.1509136961,30.197689916599998,30.1876145125,29.2507011075,30.181544169699997,56.246754198599994,62.780538648500006,62.0984290402,62.2457877074,77.22500457390001,62.3395543831,4016.132,3987.6679999999997,4017.232,4050.488,3982.468,3933.888
1725,v20_Survivorman2,sp4,3537,0,30.779821170500004,30.1576029144,30.216803263699997,30.2018369581,29.248945615,30.3062900579,54.3145207412,62.6742170705,61.8311727475,62.0452255871,77.2467537655,60.5660421092,6011.795999999999,6001.236,6040.888000000001,6079.96,6039.764,5883.664000000001
1726,v20_Survivorman2,sp4,5380,0,30.9057846497,30.1660581137,30.2352276013,30.2241858436,29.2526793389,30.4080444952,52.7628247683,62.555119243,61.5658496912,61.7250987698,77.1858662289,59.168857430900005,9078.58,9158.764000000001,9153.204,9171.224,9202.348,8931.712
1727,v20_Survivorman2,sp4,8183,0,30.982513635300002,30.168812415500003,30.243451185599998,30.233039241700002,29.253777155700003,30.5064884019,51.8382808872,62.5156346575,61.4530017799,61.598430666999995,77.16777204520001,57.844394316199995,13624.152,14007.82,14084.06,13920.132,14060.024,13503.944
1728,v20_Survivorman2,sp4,12445,0,31.027161350700002,30.1709471936,30.2451974483,30.238114773299998,29.255751737399997,30.5926640958,51.3073347832,62.4859880349,61.4258640381,61.52762593600001,77.1395071848,56.706317835600004,20744.2,21568.156000000003,21827.576,21247.22,21649.347999999998,20311.96
1729,v20_Survivorman2,sp4,14312,0,31.0373590136,30.1715687525,30.246070741399997,30.237765589899997,29.2545454173,30.616298570300003,51.1892017439,62.477450415,61.4131097994,61.53738108100001,77.15460448649999,56.3999820819,23674.064,24332.843999999997,25330.412,24687.112,24518.16,23304.416
1730,v20_Survivorman2,sp4,500,1,30.0108768954,30.0166337125,30.020158581,30.0475297308,29.261735904000002,29.744096855,64.8339992046,64.7466501367,64.6922956754,64.2894239464,77.03055175829999,68.9382984525,935.832,919.1239999999999,937.9839999999999,944.8760000000001,929.24,927.988
1731,v20_Survivorman2,sp4,760,1,30.293628038,30.1178508238,30.149749700999998,30.150334324,29.2660395679,29.9032329425,60.74422862189999,63.25468591640001,62.7916586122,62.7814116547,76.9536730085,66.45828306109999,1372.5279999999998,1365.896,1373.904,1387.476,1383.34,1359.164
1732,v20_Survivorman2,sp4,1005,1,30.4443935479,30.145393479000003,30.186967746999997,30.1835736058,29.269476985,29.9899353171,58.6743378579,62.855463318999995,62.255737898199996,62.3075439223,76.89277482600001,65.1444217429,1792.432,1780.36,1798.5720000000001,1809.72,1798.996,1759.9360000000001
1733,v20_Survivorman2,sp4,1529,1,30.597162932600003,30.1735074083,30.2178577333,30.2137354308,29.2706685149,30.1217442337,56.6485850421,62.4502833238,61.8139949547,61.877816044,76.8750356406,63.20030127850001,2668.008,2657.3759999999997,2662.804,2689.864,2667.472,2626.04
1734,v20_Survivorman2,sp4,2326,1,30.734024559899996,30.189052230599998,30.2426086943,30.243744100100002,29.272643847399998,30.2300878106,54.8941106454,62.222551723500004,61.4655185972,61.446766948000004,76.8307971675,61.64654029999999,4016.132,3987.6679999999997,4017.232,4050.488,3982.468,3933.888
1735,v20_Survivorman2,sp4,3537,1,30.857271917800002,30.2014853913,30.263788581900002,30.2613498682,29.2751272494,30.3454879323,53.358829037700005,62.0555080943,61.1676830184,61.2002866281,76.79299968560001,60.0249434682,6011.795999999999,6001.236,6040.888000000001,6079.96,6039.764,5883.664000000001
1736,v20_Survivorman2,sp4,5380,1,30.953435249,30.2076411836,30.2735612756,30.2788687694,29.27862744,30.4460752631,52.1906277286,61.9650482185,61.0285655284,60.956581702200005,76.72875431899999,58.6554545305,9078.58,9158.764000000001,9153.204,9171.224,9202.348,8931.712
1737,v20_Survivorman2,sp4,8183,1,31.0147850626,30.2000395474,30.2803175555,30.2865227684,29.274283449499997,30.5417206779,51.459825270799996,62.0804367121,60.9340100375,60.848213394,76.8043011085,57.376097313,13624.152,14007.82,14084.06,13920.132,14060.024,13503.944
1738,v20_Survivorman2,sp4,12445,1,31.0569304557,30.1948002982,30.2747360045,30.2864413866,29.271117323600002,30.6310189694,50.9633914558,62.1788985768,61.0309807623,60.856217675,76.8652012891,56.2091446971,20744.2,21568.156000000003,21827.576,21247.22,21649.347999999998,20311.96
1739,v20_Survivorman2,sp4,14312,1,31.0633913036,30.193430888800002,30.2752953127,30.282509460300002,29.270952435799998,30.6525540925,50.8868634878,62.2021006095,61.0156635584,60.915363716499996,76.8674253266,55.931079865200005,23674.064,24332.843999999997,25330.412,24687.112,24518.16,23304.416
1740,v20_Survivorman2,sp4,500,2,29.9964223879,29.9689520681,30.011741247399996,30.0045834877,29.2314849568,29.7273709034,65.0451808,65.4581947202,64.8196145292,64.92739471770001,77.5666675091,69.2020900358,935.832,919.1239999999999,937.9839999999999,944.8760000000001,929.24,927.988
1741,v20_Survivorman2,sp4,760,2,30.2807342738,30.094150156799998,30.1200050183,30.1109050948,29.2452761747,29.879254218000003,60.9283577238,63.5988596119,63.2230236928,63.357867676800005,77.3244631996,66.827542198,1372.5279999999998,1365.896,1373.904,1387.476,1383.34,1359.164
1742,v20_Survivorman2,sp4,1005,2,30.436582743899997,30.121267003099998,30.1624674696,30.1592693204,29.2542969198,29.969415733800002,58.7831377905,63.2076086787,62.6099399795,62.652155605299995,77.15816369779999,65.4549783493,1792.432,1780.36,1798.5720000000001,1809.72,1798.996,1759.9360000000001
1743,v20_Survivorman2,sp4,1529,2,30.5771875615,30.1443202831,30.1900674279,30.203674526700002,29.2499164949,30.0956401681,56.9125636175,62.8713759297,62.211191566800004,62.015107606099996,77.2387839171,63.5831167595,2668.008,2657.3759999999997,2662.804,2689.864,2667.472,2626.04
1744,v20_Survivorman2,sp4,2326,2,30.7162580928,30.1673729056,30.215166476999997,30.2395229219,29.25620342,30.2180613007,55.120762466,62.5354564457,61.854685268199994,61.5074107051,77.1265205597,61.8143656003,4016.132,3987.6679999999997,4017.232,4050.488,3982.468,3933.888
1745,v20_Survivorman2,sp4,3537,2,30.823812967800002,30.1793350966,30.2369578468,30.2670618888,29.257311148299998,30.337489085100003,53.768379843299996,62.370265661800005,61.5441265375,61.118419198599995,77.1043163463,60.1396215481,6011.795999999999,6001.236,6040.888000000001,6079.96,6039.764,5883.664000000001
1746,v20_Survivorman2,sp4,5380,2,30.9092438632,30.1841257146,30.2510455184,30.283297098200002,29.2555946964,30.4475035141,52.7236213087,62.2984910211,61.3448100953,60.892232541999995,77.1362686092,58.6347439146,9078.58,9158.764000000001,9153.204,9171.224,9202.348,8931.712
1747,v20_Survivorman2,sp4,8183,2,30.9642441511,30.1779879326,30.2534778802,30.2933181352,29.2571013662,30.536731445300003,52.0564802757,62.3940120579,61.3057989984,60.7521426964,77.11187578090001,57.4400345287,13624.152,14007.82,14084.06,13920.132,14060.024,13503.944
1748,v20_Survivorman2,sp4,12445,2,31.0058195031,30.1705147933,30.2499700238,30.295617205,29.253090539299997,30.6103659954,51.5609512179,62.527563722299995,61.369762873999996,60.7186033377,77.1838105997,56.477107138,20744.2,21568.156000000003,21827.576,21247.22,21649.347999999998,20311.96
1749,v20_Survivorman2,sp4,14312,2,31.0132181802,30.1704968153,30.2490790346,30.293334941199998,29.253355659,30.6314481486,51.473614343,62.5318099959,61.3779520379,60.758942589899995,77.1839554078,56.202506024099996,23674.064,24332.843999999997,25330.412,24687.112,24518.16,23304.416
1750,v20_Survivorman2,sp4,500,3,30.0083813094,29.9375317933,30.0083524592,30.0380468147,29.2202692441,29.7264396178,64.86885029609999,65.93651250180001,64.8679435548,64.4262662861,77.7641546611,69.2204520308,935.832,919.1239999999999,937.9839999999999,944.8760000000001,929.24,927.988
1751,v20_Survivorman2,sp4,760,3,30.268216509200002,30.0717546308,30.1255969673,30.162023626,29.2411260201,29.8793695769,61.1041974729,63.92487803979999,63.1394074467,62.6113252052,77.3854533354,66.82545136520001,1372.5279999999998,1365.896,1373.904,1387.476,1383.34,1359.164
1752,v20_Survivorman2,sp4,1005,3,30.404451163,30.101129095700003,30.161233320500003,30.2155108085,29.235697623000004,29.968772264899997,59.2179996382,63.497648100000006,62.621444373900005,61.8508560875,77.48922888109999,65.4659281052,1792.432,1780.36,1798.5720000000001,1809.72,1798.996,1759.9360000000001
1753,v20_Survivorman2,sp4,1529,3,30.569761983299998,30.1267964313,30.1856991497,30.2683634954,29.2393965728,30.089990770500002,57.0115860182,63.1240394243,62.277286762799996,61.101274441099996,77.4267438831,63.6664746089,2668.008,2657.3759999999997,2662.804,2689.864,2667.472,2626.04
1754,v20_Survivorman2,sp4,2326,3,30.731334353,30.1503557179,30.221885685,30.3144208296,29.2414795954,30.2184606668,54.9312888588,62.784983793,61.7592641667,60.4570287475,77.3914137275,61.808367632700005,4016.132,3987.6679999999997,4017.232,4050.488,3982.468,3933.888
1755,v20_Survivorman2,sp4,3537,3,30.8540058464,30.1608901369,30.2376870392,30.346142170700002,29.2422490491,30.333815471799998,53.3957385265,62.63527349100001,61.53090060939999,60.0188890175,77.3753606082,60.1894338105,6011.795999999999,6001.236,6040.888000000001,6079.96,6039.764,5883.664000000001
1756,v20_Survivorman2,sp4,5380,3,30.9550314726,30.1679097921,30.2501375808,30.3627996008,29.246036445500003,30.447612739,52.1715332387,62.5288859136,61.3584856767,59.785703299,77.3095302035,58.6340511134,9078.58,9158.764000000001,9153.204,9171.224,9202.348,8931.712
1757,v20_Survivorman2,sp4,8183,3,31.0208562888,30.160790852399998,30.2559527726,30.373673864,29.2424288321,30.5336321832,51.3870610271,62.6388391284,61.2739876103,59.6398279075,77.3680393014,57.4861646767,13624.152,14007.82,14084.06,13920.132,14060.024,13503.944
1758,v20_Survivorman2,sp4,12445,3,31.0662201634,30.1566782706,30.253266692600004,30.377154318200002,29.239281810599998,30.603573328099998,50.855657434099996,62.7281089467,61.3219985212,59.5947231253,77.4386997605,56.566924469499995,20744.2,21568.156000000003,21827.576,21247.22,21649.347999999998,20311.96
1759,v20_Survivorman2,sp4,14312,3,31.0755662165,30.1554658646,30.250855809,30.3735615675,29.2389348783,30.623690062399998,50.747565943999994,62.7464685849,61.3620993603,59.65206029149999,77.4420910884,56.3043755736,23674.064,24332.843999999997,25330.412,24687.112,24518.16,23304.416
1760,v20_Survivorman2,sp4,500,4,30.009131041999996,29.9815560204,30.0661555302,30.0579104718,29.2525806881,29.7596421711,64.86833769649999,65.2709262612,64.0140325392,64.1344646766,77.1873944865,68.6961606625,935.832,919.1239999999999,937.9839999999999,944.8760000000001,929.24,927.988
1761,v20_Survivorman2,sp4,760,4,30.2423251789,30.1041935315,30.1585768136,30.1975247075,29.2746954455,29.9114653219,61.4867134984,63.45488989,62.6657840982,62.105124968599995,76.8004480791,66.32787286760001,1372.5279999999998,1365.896,1373.904,1387.476,1383.34,1359.164
1762,v20_Survivorman2,sp4,1005,4,30.4060787988,30.134638688400003,30.2017889752,30.263690100199998,29.2712853873,29.998686994499998,59.2116674292,63.00884071390001,62.0480993507,61.1719287411,76.8613213596,65.0189419587,1792.432,1780.36,1798.5720000000001,1809.72,1798.996,1759.9360000000001
1763,v20_Survivorman2,sp4,1529,4,30.5947389866,30.171266585500003,30.2344805768,30.3269718768,29.2757227538,30.133578377600003,56.694197010699995,62.4872585859,61.5801593976,60.2792832242,76.7820438823,63.027435467,2668.008,2657.3759999999997,2662.804,2689.864,2667.472,2626.04
1764,v20_Survivorman2,sp4,2326,4,30.7964859652,30.1946740084,30.267146495,30.3772225743,29.281700916,30.2634842534,54.1174843646,62.1434641035,61.1193662237,59.5896278066,76.6667876755,61.1707894216,4016.132,3987.6679999999997,4017.232,4050.488,3982.468,3933.888
1765,v20_Survivorman2,sp4,3537,4,30.938698803,30.2065337661,30.2840838746,30.4162036652,29.2857112842,30.380866342199997,52.3727424198,61.9769551004,60.8756207113,59.05859855600001,76.60753167729999,59.5408575579,6011.795999999999,6001.236,6040.888000000001,6079.96,6039.764,5883.664000000001
1766,v20_Survivorman2,sp4,5380,4,31.0618812339,30.2123257167,30.2999162066,30.438241927800004,29.2869039874,30.489078469099997,50.9021757254,61.893259353400005,60.6598265893,58.7572053275,76.5864026229,58.0775673724,9078.58,9158.764000000001,9153.204,9171.224,9202.348,8931.712
1767,v20_Survivorman2,sp4,8183,4,31.141310556500002,30.206332132600004,30.306174721399998,30.450257424,29.2847100181,30.584566705500002,49.9825568374,61.9936939149,60.5736275082,58.596684323199995,76.6174629849,56.817577514700005,13624.152,14007.82,14084.06,13920.132,14060.024,13503.944
1768,v20_Survivorman2,sp4,12445,4,31.191459084499996,30.2006040839,30.3042733206,30.4538054565,29.282948101,30.6601085368,49.4061308392,62.0884874453,60.602665608500004,58.5485101787,76.6568166669,55.8344563909,20744.2,21568.156000000003,21827.576,21247.22,21649.347999999998,20311.96
1769,v20_Survivorman2,sp4,14312,4,31.1997570386,30.1994216253,30.2997459266,30.451009061399997,29.2820105616,30.68559085,49.3124414144,62.1131762627,60.6716381947,58.592288809399996,76.6754876441,55.5102633644,23674.064,24332.843999999997,25330.412,24687.112,24518.16,23304.416
1770,v20_Survivorman2,sp4,500,5,30.029860899699997,29.930736037,30.0313640809,30.0653685387,29.224997653800003,29.7241947929,64.5530971279,66.0349162369,64.5270747625,64.02427892840001,77.6845803282,69.2550713752,935.832,919.1239999999999,937.9839999999999,944.8760000000001,929.24,927.988
1771,v20_Survivorman2,sp4,760,5,30.2695882742,30.0751112344,30.134610760300003,30.1911002876,29.2489029612,29.8781227966,61.093158324499996,63.879994268400004,63.006764750500004,62.1947624401,77.25681424,66.8448310432,1372.5279999999998,1365.896,1373.904,1387.476,1383.34,1359.164
1772,v20_Survivorman2,sp4,1005,5,30.4142169663,30.1070738969,30.180326981300002,30.266160809299997,29.251482729099997,29.9700599494,59.090989551199996,63.4101305363,62.3485756776,61.133270506,77.2150018215,65.4407816664,1792.432,1780.36,1798.5720000000001,1809.72,1798.996,1759.9360000000001
1773,v20_Survivorman2,sp4,1529,5,30.6021420189,30.1367046481,30.213459198699997,30.344342072399996,29.2489880585,30.1014556477,56.5881877279,62.9806547413,61.8786712529,60.04431389729999,77.2498615845,63.500714223,2668.008,2657.3759999999997,2662.804,2689.864,2667.472,2626.04
1774,v20_Survivorman2,sp4,2326,5,30.7857774257,30.1641166704,30.2505170384,30.3973458579,29.2501074946,30.2311324037,54.2438708462,62.5836135626,61.3505233486,59.3118137854,77.2380958008,61.625446284700004,4016.132,3987.6679999999997,4017.232,4050.488,3982.468,3933.888
1775,v20_Survivorman2,sp4,3537,5,30.9201628685,30.1765075457,30.2730007904,30.4410267423,29.258098619499997,30.3473992891,52.590495806099995,62.40866593729999,61.0339980106,58.72227335270001,77.091641032,60.0057423943,6011.795999999999,6001.236,6040.888000000001,6079.96,6039.764,5883.664000000001
1776,v20_Survivorman2,sp4,5380,5,31.0414515475,30.1841878344,30.288536374099998,30.468326224499997,29.2598154744,30.461267902600003,51.143169439,62.301112326,60.8192930733,58.3522898226,77.0643963244,58.45109221,9078.58,9158.764000000001,9153.204,9171.224,9202.348,8931.712
1777,v20_Survivorman2,sp4,8183,5,31.1148097435,30.1770006132,30.2957163346,30.481782760700003,29.255871509400002,30.5544036517,50.2828752709,62.413089631400005,60.718019230900005,58.176395715,77.1349920658,57.2110543703,13624.152,14007.82,14084.06,13920.132,14060.024,13503.944
1778,v20_Survivorman2,sp4,12445,5,31.1621517861,30.170540235100002,30.2952327188,30.4852419602,29.253149519,30.6308768676,49.7383640183,62.529226360200006,60.7302146741,58.1268674579,77.1893622243,56.2110791461,20744.2,21568.156000000003,21827.576,21247.22,21649.347999999998,20311.96
1779,v20_Survivorman2,sp4,14312,5,31.1729362783,30.171072291399998,30.2909401878,30.4840231221,29.2530561044,30.6539710552,49.61612678229999,62.5247103241,60.7935975059,58.1507308125,77.1903043101,55.91198352439999,23674.064,24332.843999999997,25330.412,24687.112,24518.16,23304.416
1780,v20_Survivorman2,sp4,500,6,30.028172309400002,29.974255587,30.0483373742,30.0722699682,29.242130661599997,29.7241279144,64.57443577789999,65.3810483908,64.27471888560001,63.9171063117,77.3736606337,69.2525951925,935.832,919.1239999999999,937.9839999999999,944.8760000000001,929.24,927.988
1781,v20_Survivorman2,sp4,760,6,30.252174359,30.105082629800002,30.1443344721,30.1969923337,29.275272573000002,29.869382162199997,61.3349456144,63.4411885838,62.8728135449,62.1107605578,76.7977014051,66.9788576881,1372.5279999999998,1365.896,1373.904,1387.476,1383.34,1359.164
1782,v20_Survivorman2,sp4,1005,6,30.3999718754,30.139502899999997,30.1944432977,30.2715391243,29.2677481558,29.968709650799997,59.2850473388,62.9347142764,62.150092907,61.056509962700005,76.920851749,65.4619523706,1792.432,1780.36,1798.5720000000001,1809.72,1798.996,1759.9360000000001
1783,v20_Survivorman2,sp4,1529,6,30.6169513207,30.167289798899997,30.234390501999997,30.3566284119,29.274356832800002,30.108832844600002,56.396900493000004,62.538797648,61.5798861613,59.873790736400004,76.8004172574,63.3851156743,2668.008,2657.3759999999997,2662.804,2689.864,2667.472,2626.04
1784,v20_Survivorman2,sp4,2326,6,30.8097306394,30.192755716,30.271546409699997,30.4165845951,29.2785310303,30.234179675100002,53.9453066887,62.1739780989,61.05292103319999,59.054538097700004,76.729747197,61.5820092946,4016.132,3987.6679999999997,4017.232,4050.488,3982.468,3933.888
